topic,recv_ns,a,b,c
wheel,1787282674635792252,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282674665722150,-0.00032308395617485186,0.00041802979935306377,3.3711108641565406e-05
wheel,1787282674735081205,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282674765557514,-0.00031059671672124475,0.00042116494950873376,8.410472499297045e-05
wheel,1787282674835162113,0.0,0.0006155864684842527,0.00030779323424212635
odom,1787282674865196074,-0.00028540012585995803,0.00042750024749220315,0.00018023944634817728
wheel,1787282674935577634,0.0,0.0,0.0
odom,1787282674965124402,-0.0002818770932795048,0.00042838716857848485,0.0001074497710558931
wheel,1787282675035166543,0.0009233796736225486,-0.0036935186944901943,-0.0013850695104338229
odom,1787282675065208719,-0.000385494290985641,0.0004022982728789295,-0.0005266460538421685
wheel,1787282675135282149,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282675165114886,-0.00040718045148561445,0.000396880044726269,-0.0003871346202109985
wheel,1787282675255861970,0.0006155864684842527,0.0,0.00030779323424212635
odom,1787282675265095733,-0.0003909990383967256,0.0004009536121377995,-0.00010485970274439383
wheel,1787282675335343441,-0.0006155864684842527,0.0006155864684842527,0.0
odom,1787282675364186388,-0.0003929780626742815,0.00040044429784678106,-6.393028357813877e-05
wheel,1787282675455905453,0.0,0.0009233796736225486,0.0004616898368112743
odom,1787282675464668117,-0.0003589274782864327,0.0004089710086056651,0.0001576787654585039
wheel,1787282675555696768,0.0,0.0,0.0
odom,1787282675564666200,-0.000355923044448914,0.0004097257224912584,9.564399255386868e-05
wheel,1787282675655548319,0.0,0.0006155864684842527,0.00030779323424212635
odom,1787282675664611589,-0.000330580492549869,0.0004160806137367896,0.00018877934103498837
wheel,1787282675755955554,0.0,0.0,0.0
odom,1787282675764836906,-0.00032696147094586647,0.00041699055632898164,0.00011406287571513382
wheel,1787282675856163577,0.002154552610591054,0.0,0.001077276305295527
odom,1787282675864718357,-0.00024248334288515873,0.00043817859340369283,0.0005270981913339604
wheel,1787282675955811805,0.0,0.0006155864684842527,0.00030779323424212635
odom,1787282675964589714,-0.00020888526985769046,0.00044660196039878624,0.00044983555410666137
wheel,1787282676055992565,0.0,0.0,0.0
odom,1787282676065439800,-0.00020022031581463283,0.0004487730905437445,0.0002710159058778418
wheel,1787282676156024904,0.0,0.0,0.0
odom,1787282676164763647,-0.0001949298450798472,0.0004500999298932753,0.0001618380600369042
wheel,1787282676235520697,-0.0015389662003144622,0.0012311729369685054,-0.0001538966316729784
odom,1787282676264814214,-0.00020346866459005193,0.0004480140651894489,2.9742106368684803e-05
wheel,1787282676335230739,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282676364786402,-0.00019100064388716088,0.00045113096056902634,8.053759372049772e-05
wheel,1787282676455918255,0.0,0.0,0.0
odom,1787282676464866201,-0.00018932316967078404,0.00045154931472721714,4.593906398040809e-05
wheel,1787282676535810905,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282676564850891,-0.00020005795455119513,0.0004488560274715099,-4.0553955141678426e-05
wheel,1787282676635561889,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282676665147913,-0.00018894283610702595,0.0004516410390227936,3.811256043356657e-05
wheel,1787282676734689774,-0.00030779323424212635,0.0006155864684842527,0.00015389661712106317
odom,1787282676764468471,-0.0001763422142407575,0.0004548125340423617,8.605971799246584e-05
wheel,1787282676835009184,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282676864697944,-0.00016282885178507632,0.00045820401503997326,0.00011521795981937196
wheel,1787282676935277362,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282676964844493,-0.000172259642820164,0.000455836776576237,1.8389682358278635e-06
odom,1787282677064737034,-0.00017237722390970516,0.0004558072104333829,-3.7502570209962105e-06
wheel,1787282677075020405,0.00030779323424212635,0.0,0.00015389661712106317
wheel,1787282677156221527,0.0,0.0,0.0
odom,1787282677164782522,-0.00015967503866099554,0.0004589953898129721,4.01278150042623e-05
odom,1787282677264885237,-0.0001548899142395633,0.00046019838242981854,3.765794930337004e-05
wheel,1787282677275084209,0.0,0.0,0.0
wheel,1787282677356098070,0.0,0.0,0.0
odom,1787282677364649322,-0.00015787322856068757,0.0004594476360694763,1.1152365321102966e-05
wheel,1787282677456727619,0.0,0.0006155864684842527,0.00030779323424212635
odom,1787282677464546988,-0.00013470556144485485,0.00046527379645921926,0.00013305868411273564
wheel,1787282677554806712,-0.0012311729369685054,0.0012311729369685054,0.0
odom,1787282677564070473,-0.00013188431707798428,0.00046599942240614547,7.897399394209905e-05
wheel,1787282677634702260,0.0,0.0,0.0
odom,1787282677664719593,-0.00013020701266675924,0.0004664213073823525,4.5714618609363587e-05
odom,1787282677765192983,-0.0001246968257823928,0.0004678106004015249,4.392025537554082e-05
wheel,1787282677775030078,-0.0009233796736225486,0.0,-0.0004616898368112743
wheel,1787282677855368158,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282677864860695,-0.00015355676167094786,0.0004605396965691084,-5.3918562984507586e-05
odom,1787282677965117236,-0.00016068195086004397,0.0004587418723888338,-6.186207995332663e-05
wheel,1787282677995544596,-0.00030779323424212635,0.0,-0.00015389661712106317
wheel,1787282678075188517,0.00030779323424212635,0.0,0.00015389661712106317
odom,1787282678098449207,-0.0001563312100514966,0.00045983766126316163,-3.1175917238663616e-06
wheel,1787282678155476427,0.002154552610591054,0.0,0.001077276305295527
odom,1787282678164943066,-7.635320502849454e-05,0.00048000829272902123,0.00044639500847906455
wheel,1787282678255595240,0.0,0.0,0.0
odom,1787282678265130447,-6.720540065363786e-05,0.0004823085575474507,0.00027092101822420955
wheel,1787282678356070388,0.0,0.0,0.0
odom,1787282678364737239,-6.176150549119657e-05,0.0004836796470037629,0.00016261205553508458
wheel,1787282678435071606,0.0,0.0,0.0
odom,1787282678465132981,-5.850026942201983e-05,0.0004845019889075459,9.628815104828581e-05
wheel,1787282678555665522,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282678564262409,-6.827980380374458e-05,0.0004820430870966089,-9.66292859144712e-06
wheel,1787282678634736494,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282678664242832,-8.010026469094479e-05,0.00047906852686839394,-7.398529454418351e-05
wheel,1787282678755081545,0.0,0.0006155864684842527,0.00030779323424212635
odom,1787282678764154189,-5.782924811998079e-05,0.00048468194559504464,8.37383096746967e-05
odom,1787282678864971800,-4.745773411974835e-05,0.00048729711477258237,8.493581175231115e-05
wheel,1787282678875288165,-0.0009233796736225486,0.0,-0.0004616898368112743
wheel,1787282678955721582,0.0,0.0,0.0
odom,1787282678965066594,-9.140716407614875e-05,0.00047622301613885497,-0.000102632582948661
odom,1787282679065027889,-0.00010472611324815589,0.00047286167451270403,-0.00011402945748388522
wheel,1787282679075414652,0.0,0.0,0.0
wheel,1787282679155647812,-0.00030779323424212635,0.0,-0.00015389661712106317
odom,1787282679165164637,-0.00010652790475918575,0.0004724058417986966,-0.00010236817005108524
odom,1787282679264493119,-0.00011974318924264203,0.00046906945558278874,-0.00011263347878234393
