topic,recv_ns
lidar,1787201874169448903
lidar,1787201874259546347
lidar,1787201874359582904
lidar,1787201874460274033
lidar,1787201874560345455
lidar,1787201874662285726
lidar,1787201874761967455
lidar,1787201874857505506
lidar,1787201874956903906
lidar,1787201875060576945
lidar,1787201875156345023
lidar,1787201875255584539
lidar,1787201875355591610
lidar,1787201875456064781
lidar,1787201875556147771
lidar,1787201875657944521
lidar,1787201875756418159
lidar,1787201876378815067
lidar,1787201876379847605
lidar,1787201876380383765
lidar,1787201876380823802
lidar,1787201876381230244
lidar,1787201876455429065
lidar,1787201876554304490
lidar,1787201876653515252
lidar,1787201876752994709
lidar,1787201876852743287
lidar,1787201876951433787
lidar,1787201877051539435
lidar,1787201877150479184
lidar,1787201877250390415
lidar,1787201877353114269
lidar,1787201877450045538
lidar,1787201877550005020
lidar,1787201877653034488
lidar,1787201877750712202
lidar,1787201877850781915
lidar,1787201877956470857
lidar,1787201878050075698
lidar,1787201878150137545
lidar,1787201878250120332
lidar,1787201878349972599
lidar,1787201878450130678
lidar,1787201878551547441
lidar,1787201878649726603
lidar,1787201878749242423
lidar,1787201878849185593
lidar,1787201878949783934
lidar,1787201879050133983
lidar,1787201879149489776
lidar,1787201879249658168
lidar,1787201879349652785
lidar,1787201879449443217
lidar,1787201879549529181
lidar,1787201879649281658
lidar,1787201879748916869
lidar,1787201879848033588
lidar,1787201879947760101
lidar,1787201880046795732
lidar,1787201880145836667
lidar,1787201880265135082
lidar,1787201880346954713
lidar,1787201880443701367
lidar,1787201880546984806
lidar,1787201880642657512
lidar,1787201880743544485
lidar,1787201880842690914
lidar,1787201880942605074
lidar,1787201881042875912
lidar,1787201881142723842
lidar,1787201881242877162
lidar,1787201881343212805
lidar,1787201881442646941
lidar,1787201881543019459
lidar,1787201881643404269
lidar,1787201881742931134
lidar,1787201881843613768
lidar,1787201881943853221
lidar,1787201882042862139
lidar,1787201882142125127
lidar,1787201882241649342
lidar,1787201882341459873
lidar,1787201882442806237
lidar,1787201882539257828
lidar,1787201882638416827
lidar,1787201882738490409
lidar,1787201882838094054
lidar,1787201882937566664
lidar,1787201883039298069
lidar,1787201883137613758
