1787112822,660715143,,esp32,100.00682067871094,119.93569946289062,120.20039367675781,30
1787112822,660763610,,lidar,99.79402923583984,201.7545928955078,298.2640380859375,30
1787112822,660767764,,ui,0.0,0.0,0.0,0
1787112823,660802025,,esp32,100.01063537597656,119.92479705810547,120.20039367675781,30
1787112823,660876640,,lidar,99.777099609375,201.6213836669922,298.2640380859375,30
1787112823,660887326,,ui,0.0,0.0,0.0,0
1787112824,660895152,,esp32,100.00682067871094,120.06929016113281,139.93548583984375,30
1787112824,661008068,,lidar,99.78938293457031,203.33743286132812,298.2640380859375,30
1787112824,661022159,,ui,0.0,0.0,0.0,0
1787112825,661065935,,esp32,100.00682067871094,126.15545654296875,139.93548583984375,30
1787112825,661221759,,lidar,99.77078247070312,203.08424377441406,298.2640380859375,30
1787112825,661242901,,ui,0.0,0.0,0.0,0
1787112826,661067134,,esp32,100.00181579589844,124.23446655273438,139.93548583984375,30
1787112826,661172921,,lidar,99.76482391357422,202.83106994628906,298.2640380859375,30
1787112826,661182285,,ui,0.0,0.0,0.0,0
1787112827,660823186,,esp32,100.00181579589844,139.46803283691406,139.9791259765625,30
1787112827,660865894,,lidar,99.761962890625,202.57789611816406,298.2640380859375,30
1787112827,660868575,,ui,0.0,0.0,0.0,0
1787112828,661055591,,esp32,100.00181579589844,139.41551208496094,139.9791259765625,30
1787112828,661178144,,lidar,99.76482391357422,202.32472229003906,298.2640380859375,30
1787112828,661191287,,ui,0.0,0.0,0.0,0
1787112829,661033799,,esp32,100.00181579589844,137.6837921142578,139.9791259765625,30
1787112829,661148524,,lidar,99.7558822631836,202.4829559326172,298.2640380859375,30
1787112829,661155932,,ui,0.0,0.0,0.0,0
1787112830,661148859,,esp32,100.00682067871094,135.7655029296875,139.9791259765625,30
1787112830,661266709,,lidar,99.72834777832031,202.458251953125,298.2640380859375,30
1787112830,661275263,,ui,0.0,0.0,0.0,0
1787112831,661007503,,esp32,100.01301574707031,133.8472137451172,139.9791259765625,30
1787112831,661124842,,lidar,99.73907470703125,202.4380340576172,298.2640380859375,30
1787112831,661137986,,ui,0.0,0.0,0.0,0
1787112832,661298269,,esp32,100.01301574707031,132.0142822265625,139.9791259765625,30
1787112832,661510974,,lidar,99.751708984375,202.41781616210938,298.2640380859375,30
1787112832,661537885,,ui,0.0,0.0,0.0,0
